Target,Accessions,Compounds
Gamma-aminobutyric acid receptor subunit alpha-4/beta-2/delta,P47870|P48169|O14764,1
Sodium- and chloride-dependent creatine transporter 1,P48029,1
LIM and senescent cell antigen-like-containing domain protein 1,P48059,1
Transcription factor SOX-9,P48436,1
Serpin B10,P48595,1
Protein PRRC2A,P48634,1
Glutathione synthetase,P48637,1
"von Hippel-Lindau disease tumor suppressor/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",P48736|P40337,1
"Protein cereblon/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",P48736|Q96SW2,1
"Protein cereblon/Tryptophan 2,3-dioxygenase",P48775|Q96SW2,1
DNA polymerase delta subunit 2,P49005,1
Large ribosomal subunit protein eL34,P49207,1
Ribose-5-phosphate isomerase,P49247,1
Protein ERGIC-53,P49257,1
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 8,P49336|P40337,1
Alpha-aminoadipic semialdehyde dehydrogenase,P49419,1
Protein phosphatase 1F,P49593,1
Axin-1/Casein kinase I epsilon,P49674|O15169,1
"Steroidogenic acute regulatory protein, mitochondrial",P49675,1
"Acyl-coenzyme A thioesterase 2, mitochondrial",P49753,1
Dual specificity protein kinase CLK1/CLK2,P49759|P49760,1
Translation initiation factor eIF2B subunit beta,P49770,1
E3 SUMO-protein ligase RanBP2,P49792,1
Regulator of G-protein signaling 19,P49795,1
Tuberin,P49815,1
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",P49821,1
Axin-1/Glycogen synthase kinase-3 beta,P49841|O15169,1
Proteasomal ubiquitin receptor ADRM1/Glycogen synthase kinase-3 beta,P49841|Q16186,1
Transcription initiation factor TFIID subunit 6,P49848,1
DNA ligase 4,P49917,1
LIG4/XRCC4,P49917|Q13426,1
Serpin B8,P50452,1
ETS translocation variant 1,P50549,1
