Target,Accessions,Compounds
Dopamine receptor D2L/neurotensin receptor NTS1,P14416|P30989,1
Small nuclear ribonucleoprotein-associated proteins B and B',P14678,1
Interleukin-2 receptor subunit beta,P14784,1
Cytochrome c oxidase subunit 6B1,P14854,1
Gamma-aminobutyric acid receptor subunit alpha-1/gamma-2,P14867|P18507,1
GABA-A receptor; benzodiazepine site,P14867|P18507|P48169|Q99928|P34903|Q8N1C3|P47869|P31644|Q16445,1
Baculoviral IAP repeat-containing protein 2/Aldo-keto reductase family 1 member B1,P15121|Q13490,1
Aminopeptidase,P15144|P55786|Q9H4A4|P53582|Q9UIQ6|Q9ULA0|Q07075|Q9NQW7|P28838|P50579|O43895|Q6P179|Q9NZ08|Q6Q4G3|Q8N6M6|Q6UB28|Q8NDH3|Q9HAU8|Q9NQH7,1
RAC1/RAC2/RAC3,P15153|P60763|P63000,1
Cyclic AMP-dependent transcription factor ATF-2,P15336,1
Proto-oncogene vav,P15498,1
Arylsulfatase B,P15848,1
Protein cereblon/Platelet-derived growth factor receptor alpha,P16234|Q96SW2,1
Histone H1.3,P16402,1
Cytotoxic T-lymphocyte protein 4,P16410,1
Epithelial cell adhesion molecule,P16422,1
Protein cereblon/Methylated-DNA--protein-cysteine methyltransferase,P16455|Q96SW2,1
Fumarylacetoacetase,P16930,1
Zinc finger X-chromosomal protein,P17010,1
Rho-related GTP-binding protein RhoQ,P17081,1
High mobility group protein HMG-I/HMG-Y,P17096,1
Nucleolar transcription factor 1,P17480,1
Transcription factor JunD,P17535,1
NADH-ubiquinone oxidoreductase B18 subunit,P17568,1
Neuromodulin,P17677,1
Integrin beta-5,P18084,1
ADP-ribosylation factor 4,P18085,1
Steroid 5-alpha-reductase,P18405|P31213|Q9H8P0,1
Integrin beta-6,P18564,1
Protein SON,P18583,1
Regulator of chromosome condensation,P18754,1
"Keratin, type II cytoskeletal 4",P19013,1
Myosin regulatory light chain 12A,P19105,1
Histidine decarboxylase,P19113,1
"DNA-directed RNA polymerases I, II, and III subunit RPABC1",P19388,1
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",P19404,1
Transcription factor EB,P19484,1
Alpha-1-acid glycoprotein 2,P19652,1
Inter-alpha-trypsin inhibitor heavy chain H2,P19823,1
CDK17/Cyclin-A2,P20248|Q00537,1
Transcription factor BTF3,P20290,1
Proteasome subunit beta type-1/beta type-5,P20618|P28074,1
Histone H2A type 1-D,P20671,1
Hepatocyte nuclear factor 1-alpha,P20823,1
Parathymosin,P20962,1
V-type proton ATPase subunit C 1,P21283,1
Cysteine and glycine-rich protein 1,P21291,1
Tumor necrosis factor alpha-induced protein 3,P21580,1
Kit ligand,P21583,1
von Hippel-Lindau disease tumor suppressor/Fibroblast growth factor receptor 2,P21802|P40337,1
B-cell differentiation antigen CD72,P21854,1
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",P21953,1
Cyclin-O,P22674,1
Transcription elongation factor A protein 1,P23193,1
Glycine receptor subunit alpha-2/beta,P23416|P48167,1
RAC-alpha serine/threonine-protein kinase/Ribosomal protein S6 kinase beta-1,P23443|P31749,1
JAK1/STAT1,P23458|P42224,1
Inositol-trisphosphate 3-kinase A,P23677,1
Endothelial transcription factor GATA-2,P23769,1
CDK6/Cyclin D,P24385|P30281|Q00534|P30279,1
Microtubule-associated protein 1 light chain 3 beta/G1/S-specific cyclin-D1/Cyclin-dependent kinase 6,P24385|Q00534|Q9GZQ8,1
Protein cereblon/G1/S-specific cyclin-D1,P24385|Q96SW2,1
Rab proteins geranylgeranyltransferase component A 1,P24386,1
Cyclin-C,P24863,1
Microtubule-associated protein 1 light chain 3 beta/G1/S-specific cyclin-E1/Cyclin-dependent kinase 2,P24864|P24941|Q9GZQ8,1
Microtubule-associated protein 1 light chain 3 beta/Cyclin-dependent kinase 2/Cyclin-A2,P24941|P20248|Q9GZQ8,1
CDK2/Cyclin C,P24941|P24863,1
CDK2/Cyclin-Y,P24941|Q8ND76,1
3-mercaptopyruvate sulfurtransferase,P25325,1
Speckle-type POZ protein-Bromodomain-containing protein 2,P25440|O43791,1
Proteasomal ubiquitin receptor ADRM1/Bromodomain-containing protein 2,P25440|Q16186,1
Proteasome subunit alpha type-2,P25787,1
Rhombotin-2,P25791,1
Protein S100-P,P25815,1
CD27 antigen,P26842,1
Stomatin,P27105,1
"Adenylate kinase 4, mitochondrial",P27144,1
Annexin A13,P27216,1
Protein cereblon/Mitogen-activated protein kinase 3/Mitogen-activated protein kinase 1,P27361|P28482|Q96SW2,1
MAPK3/MAPK7,P27361|Q13164,1
V-type proton ATPase 16 kDa proteolipid subunit c,P27449,1
Peroxisome biogenesis factor 2,P28328,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1,P28370,1
Gamma-aminobutyric acid receptor subunit alpha-5/beta-3,P28472|P31644,1
Gamma-aminobutyric acid receptor subunit alpha-2/beta-3,P28472|P47869,1
Gamma-aminobutyric acid receptor subunit alpha-5/beta-3/gamma-3,P28472|Q99928|P31644,1
Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3,P28472|Q99928|P34903,1
Gamma-aminobutyric acid receptor subunit alpha-3/beta-3/theta,P28472|Q9UN88|P34903,1
Retinoid receptor,P28702|P13631|P48443|P10826|P10276|P19793,1
