Target,Accessions
Proteasomal ubiquitin receptor ADRM1/Bromodomain-containing protein 3,Q15059|Q16186
Bromodomain-containing protein 4/Cellular tumor antigen p53,P04637|O60885
CDK9/Cyclin-H,P51946|P50750
Serine/threonine-protein phosphatase with EF-hands 1,O14829
Src/Lck kinase,P12931|P06239
Protein cereblon/Transcriptional enhancer factor TEF-5,Q96SW2|Q99594
Methionine-R-sulfoxide reductase B2, mitochondrial,Q9Y3D2
Protein O-mannosyl-transferase TMTC3,Q6ZXV5
Folliculin-interacting protein 1,Q8TF40
Tumor necrosis factor receptor superfamily member EDAR,Q9UNE0
14-3-3 eta/c-RAF,P04049|Q04917
Adiponectin receptor protein 2,Q86V24
Fructose-bisphosphate aldolase C,P09972
LIM and senescent cell antigen-like-containing domain protein 1,P48059
Transforming acidic coiled-coil-containing protein 3,Q9Y6A5
Protein cereblon/G1/S-specific cyclin-E1/Cyclin-dependent kinase 4,P11802|P24864|Q96SW2
Ras-related protein Rab-35,Q15286
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial,O95169
Neurofilament medium polypeptide,P07197
Protein diaphanous homolog 1/Transforming protein RhoA,P61586|O60610
Dual oxidase 1,Q9NRD9
CD2-associated protein,Q9Y5K6
Large ribosomal subunit protein mL66,Q9NVS2
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 8,P49336|P40337
ALK-TPM1,Q9UM73|P09493
Protein cereblon/PCNA-associated factor,Q15004|Q96SW2
Protein cereblon/Lysine-specific demethylase 5A,P29375|Q96SW2
N-acetylaspartylglutamate synthase A,Q8IXN7
E3 ubiquitin-protein ligase RNF114/Bromodomain-containing protein 4,O60885|Q9Y508
Ephrin-A2,O43921
Pyrroline-5-carboxylate reductase 2,Q96C36
Deoxyribonuclease-2-alpha,O00115
Beta-chimaerin,P52757
PD1-PDL2,Q15116|Q9BQ51
Transmembrane protein 120A,Q9BXJ8
Protein Aster-C,Q8IYS0
Protein cereblon/Receptor-type tyrosine-protein phosphatase C,P08575|Q96SW2
Protein cereblon/Terminal nucleotidyltransferase 4B,Q96SW2|Q8NDF8
Toll-like receptor 3/8/9,O15455|Q9NR96|Q9NR97
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 22,Q9Y2R2|Q96SW2
Protein cereblon/Chromobox protein homolog 8,Q9HC52|Q96SW2
Cyclin-dependent kinases regulatory subunit 1,P61024
Transcription initiation factor TFIID subunit 3,Q5VWG9
Heat shock 70 kDa protein 1-like,P34931
Myeloid-associated differentiation marker,Q96S97
Proline-, glutamic acid- and leucine-rich protein 1,Q8IZL8
Protein cereblon/Nectin-1,Q96SW2|Q15223
Protein cereblon/E3 SUMO-protein ligase NSE2,Q96SW2|Q96MF7
AP-3 complex subunit delta-1,O14617
Translocation protein SEC62,Q99442
Macrosialin,P34810
Protein cereblon/WD repeat- and FYVE domain-containing protein 4,Q96SW2|Q6ZS81
Dedicator of cytokinesis protein 1,Q14185
DIS3-like exonuclease 2,Q8IYB7
Protein cereblon/Transcriptional enhancer factor TEF-3/DNA damage-binding protein 1,Q96SW2|Q16531|Q15561
Annexin A8,P13928
Annexin A10,Q9UJ72
Adipocyte plasma membrane-associated protein,Q9HDC9
Sperm-associated antigen 5,Q96R06
3'(2'),5'-bisphosphate nucleotidase 1,O95861
RNA-binding protein 12,Q9NTZ6
Speckle-type POZ protein-Bromodomain-containing protein 3,Q15059|O43791
Voltage-dependent N-type calcium channel subunit alpha-1B/Voltage-dependent calcium channel subunit alpha-2/delta-1/Voltage-dependent L-type calcium channel subunit beta-3,P54289|Q00975|P54284
Microtubule-associated protein 1 light chain 3 beta/G1/S-specific cyclin-D1/Cyclin-dependent kinase 6,P24385|Q00534|Q9GZQ8
von Hippel-Lindau disease tumor suppressor/Lysine-specific demethylase 4D,Q6B0I6|P40337
Sodium channel protein type 4 subunit alpha/beta-1/beta-2,P35499|O60939|Q07699
Transcription factor SOX-18,P35713
Fanconi anemia group F protein,Q9NPI8
Axin-1/Casein kinase I epsilon,P49674|O15169
Keratin, type II cuticular Hb5,P78386
Putative keratin-87 protein,A6NCN2
Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A,Q09328
Zinc finger and BTB domain-containing protein 40,Q9NUA8
Kinesin-like protein KIF14,Q15058
Serum response factor,P11831
Protein c-Fos,P01100
Cytosolic phospholipase A2 delta,Q86XP0
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase/Delta(24)-sterol reductase,Q15125|Q15392
Zinc finger and BTB domain-containing protein 44,Q8NCP5
Zinc finger and BTB domain-containing protein 2,Q8N680
Zinc finger and BTB domain-containing protein 9,Q96C00
Protein cereblon/Histone acetyltransferase KAT2A,Q92830|Q96SW2
Aquaporin-5,P55064
von Hippel-Lindau disease tumor suppressor/Ephrin type-B receptor 4,P54760|P40337
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase Lck,P06239|P40337
Transcription factor SOX-9,P48436
RRP15-like protein,Q9Y3B9
Ribosome biogenesis regulatory protein homolog,Q15050
Protein phosphatase 1 regulatory subunit 1B,Q9UD71
NADH-ubiquinone oxidoreductase B18 subunit,P17568
G1/S-specific cyclin-D3,P30281
Trafficking protein particle complex subunit 5,Q8IUR0
ER membrane protein complex subunit 1,Q8N766
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2,Q6Y1H2
Protein FAM222B,Q8WU58
Centrosomal protein of 170 kDa,Q5SW79
Translation initiation factor eIF2B subunit beta,P49770
Microtubule-associated protein RP/EB family member 1,Q15691
Protein POF1B,Q8WVV4
Alpha-2-HS-glycoprotein,P02765
Cysteine and glycine-rich protein 1,P21291
Armadillo repeat-containing protein 10,Q8N2F6
Replication factor C subunit 2,P35250
PAX3- and PAX7-binding protein 1,Q9Y5B6
Protein cereblon/Delta(24)-sterol reductase,Q15392|Q96SW2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,O60264
Metastasis-associated protein MTA1,Q13330
NADPH oxidase organizer 1,Q8NFA2
Elongin-B,Q15370
Cytotoxic granule associated RNA binding protein TIA1,P31483
